,review,sentiment
0,manfaat,Positive
1,deteksi gunung letus akuratserta ubah latar,Positive
2,google,Negative
3,mengtahui fungsi,Positive
4,akurasi sensitifitasnya,Positive
5,sayang telat updatekalo,Negative
6,kasihsangat,Positive
7,lengkap,Positive
8,pasang surut air temu,Positive
9,ngawur sdm teknologi katrok,Negative
10,oya nyuwun ngampunten geh mas bansos nama budi prasetyo jragung jogotirto bah sleman rt rw lurah jogotirto bah sleman camat bah sleman yogyakarta mas mas,Positive
11,mantau gunung daki,Positive
12,notifikasi selesai notfikasi hadeh,Negative
13,aktif inisaya ituagar tenang keluarga rawan gempatsunami padang,Positive
14,coba,Positive
15,inti,Positive
16,bagi kualitas udara pilih zoom gambar bagi,Negative
17,alami pesat,Positive
18,ngasih telat kasih contoh,Negative
19,akuratcuaca oanasmasa notifnya badai dtg hujannah panas dimakassarrusak alat,Positive
20,perfect mudah paham kompleks keren,Positive
21,dukung,Positive
22,prediksi petir petir rawan turun,Negative
23,coba smoga,Positive
24,sr sr,Positive
25,mantap,Positive
26,letak ter,Negative
27,payah,Negative
28,tpi mncul,Negative
29,up to date,Negative
30,baru depan,Positive
31,pop up pilih kena dampak pop up kena dampak tambah beda,Positive
32,selamat,Positive
33,mantap,Positive
34,allah manusia waspada manusia saja inisemangat,Positive
35,alhamdulillah manfaat,Positive
36,manfaat,Positive
37,rawan asli,Negative
38,bgus andal kayak live chat komentar gitu tuju,Positive
39,ckp user interface experience bs lg user friendlybravo,Positive
40,apknya lho ket sett on,Positive
41,admin,Positive
42,palu liat mengtudo makasih keluarga makasih,Positive
43,kualitas udara jawa tengahjawa barat jawa timur perintah,Positive
44,terkadang timur tunjuk salat mta arah angintolong,Negative
45,mending perintah kerjasama dgn negara teknologi sekian detik sbelum kaget dgn,Negative
46,handphone reset atur pabrik,Negative
47,kalah jenis,Negative
48,desain simple mudah paham serta glorasium paham istilah asing awam,Positive
49,ajar my shake teknologi januari,Negative
50,muti hazardearly warning system phonsel negara phonsel perintah perintah,Positive
51,settingan,Positive
52,psnas uninstall dingin,Negative
53,manfaat trimakasih karya,Positive
54,lokal dgn terkadang lambat deh,Positive
55,tambahin mode gelap dongkarena mata liat layar terang,Positive
56,kirim test test,Negative
57,cuman tambahin,Positive
58,hai hin organisasi eropa german kalimantan kuasa eropa german diam diam,Positive
59,kek gin lelet keburu mati,Negative
60,pemberitahuannya lambat,Negative
61,tolol lambat,Negative
62,sekalidan depan atur alaram waspada gpp dri infoin,Positive
63,baanyak uptodate,Positive
64,mersakan guncang siang,Positive
65,manfaat,Positive
66,potensi yah,Positive
67,apknya cepatrealtime udara megathurst,Positive
68,manfaat krn mn aj kena musibah pemberitahusn jg,Positive
69,tidak,Negative
70,makasih,Positive
71,sya pakai ngecek mantap pokokonya,Positive
72,coba aktif kek,Positive
73,good slalu,Positive
74,dg pusat,Negative
75,usul usaha info jaga jaga,Negative
76,waahh mbantu,Positive
77,bermepaat,Positive
78,jagajaga megatrust,Positive
79,dgn,Positive
80,berat iklan,Positive
81,asalamualaikum kak alhamdulillah semenjak kalaw komentar live kabarin kalaw lingkung komentar gitu,Positive
82,jaga jaga,Positive
83,letak ribu sumur milik instansi warga ribu sumur dgn ribu meter dgn akses wifi dgn kabel optik akses internet hubung hape wajib sehinggga central over the top keras tinggal km,Negative
84,pokok mantap,Positive
85,dashboard user save,Positive
86,upload tau,Positive
87,sok bilang sunamigempa sj bs lu gede cih,Negative
88,megathrust resah,Positive
89,akses super user pemberintahun,Positive
90,coba cepat pemberitahuannya stelah msuk pemberitahuannya pusat pemberitahuannya donk,Positive
91,branda,Positive
92,lambat harus waspada,Positive
93,jan lupa donlod,Positive
94,khawatir ama megatrusht,Positive
95,org,Positive
96,manfaat cocok android apa suport android jadul,Positive
97,bagus lgi,Positive
98,thanks kamar jery rumah tunggu story wa,Positive
99,situadi,Positive
100,nih,Positive
101,notifikasi notifikasi,Positive
102,kait tiada jujur lombok takut tersebutkami trauma lagisebaikan sajauntuk,Positive
103,ting gimna,Positive
104,nge instal cuman gr rame ditiktok tntng megatrush tenyt mantap bgt bjir aplikasiny,Positive
105,harap manfaat,Positive
