content,score
manfaat,Positive
deteksi gunung letus akuratserta ubah latar,Positive
google,Negative
mengtahui fungsi,Positive
,Positive
,Positive
akurasi sensitifitasnya,Positive
sayang telat updatekalo,Negative
,Negative
kasihsangat,Positive
lengkap,Positive
pasang surut air temu,Positive
ngawur sdm teknologi katrok,Negative
,Positive
,Positive
oya nyuwun ngampunten geh mas bansos nama budi prasetyo jragung jogotirto bah sleman rt rw lurah jogotirto bah sleman camat bah sleman yogyakarta mas mas,Positive
mantau gunung daki,Positive
,Positive
,Positive
notifikasi selesai notfikasi hadeh,Negative
,Positive
aktif inisaya ituagar tenang keluarga rawan gempatsunami padang,Positive
coba,Positive
inti,Positive
bagi kualitas udara pilih zoom gambar bagi,Negative
alami pesat,Positive
ngasih telat kasih contoh,Negative
akuratcuaca oanasmasa notifnya badai dtg hujannah panas dimakassarrusak alat,Positive
,Positive
perfect mudah paham kompleks keren,Positive
dukung,Positive
prediksi petir petir rawan turun,Negative
,Positive
coba smoga,Positive
sr sr,Positive
mantap,Positive
letak ter,Negative
payah,Negative
,Negative
tpi mncul,Negative
up to date,Negative
baru depan,Positive
pop up pilih kena dampak pop up kena dampak tambah beda,Positive
selamat,Positive
mantap,Positive
,Negative
allah manusia waspada manusia saja inisemangat,Positive
alhamdulillah manfaat,Positive
manfaat,Positive
,Positive
,Positive
rawan asli,Negative
bgus andal kayak live chat komentar gitu tuju,Positive
ckp user interface experience bs lg user friendlybravo,Positive
,Positive
apknya lho ket sett on,Positive
admin,Positive
palu liat mengtudo makasih keluarga makasih,Positive
,Positive
kualitas udara jawa tengahjawa barat jawa timur perintah,Positive
terkadang timur tunjuk salat mta arah angintolong,Negative
mending perintah kerjasama dgn negara teknologi sekian detik sbelum kaget dgn,Negative
handphone reset atur pabrik,Negative
,Positive
kalah jenis,Negative
desain simple mudah paham serta glorasium paham istilah asing awam,Positive
ajar my shake teknologi januari,Negative
muti hazardearly warning system phonsel negara phonsel perintah perintah,Positive
,Positive
,Positive
settingan,Positive
